Colors,V,dV,Peak wavelength,d l,pv/e 1,pv/e 2,sigma,BlueWave,Blue_I,Peak v/e Blue,OrangeWave,Orange_I,Peak v/e Orange,RedWave,Red_I,Peak v/e Red,YellowWave,Yellow_I,Peak v/e Yellow
,,,,,,,,190.92,-1.99,,190.92,18.33,,190.92,6.74,,190.92,-167.93,
,,,,,,,,191.15,-8.68,,191.15,7.2,,191.15,5.03,,191.15,-76.46,
,,,,,,,,191.37,0.56,,191.37,9.32,,191.37,6.27,,191.37,-157.01,
,,,,,,,,191.59,-2.72,,191.59,-4.74,,191.59,9.3,,191.59,-53.93,
,,,,,,,,191.82,5.65,,191.82,10.41,,191.82,21.16,,191.82,-52.56,
,,,,,,,,192.04,0.38,,192.04,4.47,,192.04,18.13,,192.04,-33.45,
,,,,,,,,192.26,3.7,,192.26,16.83,,192.26,17.37,,192.26,40.96,
,,,,,,,,192.49,4.02,,192.49,11.02,,192.49,9.34,,192.49,4.78,
,,,,,,,,192.71,6.34,,192.71,3.79,,192.71,8.49,,192.71,70.31,
,,,,,,,,192.93,1.83,,192.93,6.31,,192.93,6.87,,192.93,99.67,
,,,,,,,,193.15,2.74,,193.15,6.59,,193.15,10.67,,193.15,105.13,
,,,,,,,,193.38,-1.99,,193.38,15.46,,193.38,14.93,,193.38,132.44,
,,,,,,,,193.6,4.93,,193.6,9.32,,193.6,17.02,,193.6,-20.48,
,,,,,,,,193.82,-1.67,,193.82,1.4,,193.82,6.31,,193.82,107.86,
,,,,,,,,194.05,3.06,,194.05,-3.93,,194.05,-0.17,,194.05,49.15,
,,,,,,,,194.27,-0.63,,194.27,5.29,,194.27,1.49,,194.27,230.74,
,,,,,,,,194.49,-2.45,,194.49,14.23,,194.49,13.48,,194.49,217.08,
,,,,,,,,194.71,-0.9,,194.71,22.97,,194.71,15.83,,194.71,170.66,
,,,,,,,,194.94,2.83,,194.94,11.91,,194.94,18.13,,194.94,16.38,
,,,,,,,,195.16,5.43,,195.16,18.74,,195.16,19.8,,195.16,-52.56,
,,,,,,,,195.38,-2.17,,195.38,15.12,,195.38,21.42,,195.38,-60.07,
,,,,,,,,195.6,-14.23,,195.6,17.51,,195.6,19.58,,195.6,-38.23,
,,,,,,,,195.83,-11.41,,195.83,19.15,,195.83,13.7,,195.83,-10.92,
,,,,,,,,196.05,-13.32,,196.05,16.76,,196.05,10.54,,196.05,93.52,
,,,,,,,,196.27,-3.72,,196.27,19.01,,196.27,6.19,,196.27,199.34,
,,,,,,,,196.5,-8.09,,196.5,13.28,,196.5,9.9,,196.5,187.73,
,,,,,,,,196.72,0.88,,196.72,4.2,,196.72,17.83,,196.72,92.16,
,,,,,,,,196.94,-0.72,,196.94,0.24,,196.94,16.04,,196.94,22.53,
,,,,,,,,197.16,3.42,,197.16,-0.92,,197.16,12.07,,197.16,11.61,
,,,,,,,,197.39,-2.72,,197.39,-0.85,,197.39,5.93,,197.39,-72.36,
,,,,,,,,197.61,-1.4,,197.61,3.17,,197.61,3.67,,197.61,-4.1,
,,,,,,,,197.83,-4.95,,197.83,12.19,,197.83,8.7,,197.83,91.48,
,,,,,,,,198.05,0.92,,198.05,29.05,,198.05,13.18,,198.05,138.58,
,,,,,,,,198.28,-2.86,,198.28,14.44,,198.28,8.58,,198.28,-8.87,
,,,,,,,,198.5,1.83,,198.5,0.44,,198.5,4.35,,198.5,-150.18,
,,,,,,,,198.72,-3.31,,198.72,-5.97,,198.72,-5.63,,198.72,-92.84,
,,,,,,,,198.94,4.97,,198.94,7,,198.94,2.82,,198.94,-102.4,
,,,,,,,,199.17,-1.44,,199.17,15.94,,199.17,7.08,,199.17,-62.8,
,,,,,,,,199.39,1.6,,199.39,19.83,,199.39,12.46,,199.39,-114.69,
,,,,,,,,199.61,-4.68,,199.61,31.85,,199.61,23.68,,199.61,91.48,
,,,,,,,,199.83,0.56,,199.83,38.19,,199.83,25.34,,199.83,178.86,
,,,,,,,,200.06,-2.4,,200.06,26.52,,200.06,26.79,,200.06,253.27,
,,,,,,,,200.28,-3.63,,200.28,5.84,,200.28,19.33,,200.28,21.85,
,,,,,,,,200.5,-8.59,,200.5,-4.88,,200.5,13.99,,200.5,-157.01,
,,,,,,,,200.72,-10.36,,200.72,-0.24,,200.72,15.15,,200.72,-239.61,
,,,,,,,,200.95,-10.05,,200.95,2.49,,200.95,6.7,,200.95,-88.06,
,,,,,,,,201.17,-6.13,,201.17,-1.47,,201.17,-0.68,,201.17,-152.92,
,,,,,,,,201.39,-2.58,,201.39,8.64,,201.39,7.47,,201.39,-47.1,
,,,,,,,,201.61,6.47,,201.61,22.83,,201.61,21.21,,201.61,30.04,
,,,,,,,,201.84,-1.35,,201.84,27.55,,201.84,31.02,,201.84,232.79,
,,,,,,,,202.06,2.51,,202.06,16.42,,202.06,19.41,,202.06,159.74,
,,,,,,,,202.28,-6.77,,202.28,2.76,,202.28,11.82,,202.28,-3.41,
,,,,,,,,202.5,3.79,,202.5,-3.72,,202.5,2.73,,202.5,-212.31,
,,,,,,,,202.73,-5.36,,202.73,-6.52,,202.73,-0.04,,202.73,-193.19,
,,,,,,,,202.95,0.92,,202.95,-4.88,,202.95,0.94,,202.95,-314.7,
,,,,,,,,203.17,-1.54,,203.17,-8.91,,203.17,5.5,,203.17,-202.75,
,,,,,,,,203.39,5.88,,203.39,-8.84,,203.39,12.63,,203.39,-200.7,
,,,,,,,,203.61,1.88,,203.61,-13.41,,203.61,3.03,,203.61,-101.72,
,,,,,,,,203.84,2.29,,203.84,-3.72,,203.84,6.27,,203.84,-83.97,
,,,,,,,,204.06,-6.45,,204.06,1.47,,204.06,-0.17,,204.06,-38.23,
,,,,,,,,204.28,-7.63,,204.28,3.45,,204.28,10.67,,204.28,21.85,
,,,,,,,,204.5,-5.36,,204.5,-2.7,,204.5,-0.55,,204.5,43.69,
,,,,,,,,204.73,0.38,,204.73,-6.79,,204.73,-6.4,,204.73,-137.9,
,,,,,,,,204.95,5.11,,204.95,-1.47,,204.95,-8.11,,204.95,-123.56,
,,,,,,,,205.17,7.07,,205.17,4.88,,205.17,-1.88,,205.17,-238.93,
,,,,,,,,205.39,1.88,,205.39,-3.17,,205.39,7.85,,205.39,-62.8,
,,,,,,,,205.61,-4.59,,205.61,0.03,,205.61,8.32,,205.61,-38.23,
,,,,,,,,205.84,-10.96,,205.84,-4.81,,205.84,6.83,,205.84,101.72,
,,,,,,,,206.06,-1.63,,206.06,11.5,,206.06,6.14,,206.06,90.11,
,,,,,,,,206.28,-1.85,,206.28,2.36,,206.28,2.47,,206.28,69.63,
,,,,,,,,206.5,5.79,,206.5,17.92,,206.5,10.15,,206.5,67.58,
,,,,,,,,206.73,-7.59,,206.73,4.2,,206.73,0.13,,206.73,3.41,
,,,,,,,,206.95,-3.08,,206.95,16.42,,206.95,4.61,,206.95,-23.89,
,,,,,,,,207.17,-11.23,,207.17,-6.52,,207.17,-2.47,,207.17,-14.34,
,,,,,,,,207.39,3.88,,207.39,-0.1,,207.39,3.2,,207.39,34.13,
,,,,,,,,207.61,-1.85,,207.61,-5.15,,207.61,-3.16,,207.61,12.97,
,,,,,,,,207.84,9.07,,207.84,4.4,,207.84,1.49,,207.84,-32.77,
,,,,,,,,208.06,0.6,,208.06,1.26,,208.06,-4.65,,208.06,-80.55,
,,,,,,,,208.28,5.97,,208.28,0.85,,208.28,0.3,,208.28,-18.43,
,,,,,,,,208.5,-5.04,,208.5,6.52,,208.5,-4.31,,208.5,4.1,
,,,,,,,,208.72,-1.26,,208.72,23.38,,208.72,16.64,,208.72,98.3,
,,,,,,,,208.95,-5.4,,208.95,27.68,,208.95,26.11,,208.95,132.44,
,,,,,,,,209.17,0.24,,209.17,33.55,,209.17,39.12,,209.17,198.65,
,,,,,,,,209.39,-6.09,,209.39,24.68,,209.39,30.29,,209.39,213.67,
,,,,,,,,209.61,-2.54,,209.61,19.63,,209.61,25.26,,209.61,208.89,
,,,,,,,,209.83,-9.91,,209.83,20.1,,209.83,18.77,,209.83,154.96,
,,,,,,,,210.06,-8.86,,210.06,20.04,,210.06,18.13,,210.06,121.51,
,,,,,,,,210.28,-12.32,,210.28,20.31,,210.28,6.31,,210.28,72.36,
,,,,,,,,210.5,-12.41,,210.5,11.64,,210.5,5.93,,210.5,11.61,
,,,,,,,,210.72,-9.91,,210.72,3.17,,210.72,1.11,,210.72,-10.24,
,,,,,,,,210.94,-4.22,,210.94,9.8,,210.94,18.35,,210.94,50.52,
,,,,,,,,211.16,-5.63,,211.16,14.64,,211.16,15.66,,211.16,128.34,
,,,,,,,,211.39,-7.36,,211.39,18.53,,211.39,21.93,,211.39,129.7,
,,,,,,,,211.61,-12.78,,211.61,8.29,,211.61,12.25,,211.61,-12.97,
,,,,,,,,211.83,-10.14,,211.83,3.99,,211.83,9.39,,211.83,-82.6,
,,,,,,,,212.05,-8.18,,212.05,3.86,,212.05,9.39,,212.05,-60.07,
,,,,,,,,212.27,-3.36,,212.27,8.29,,212.27,11.26,,212.27,-6.14,
,,,,,,,,212.5,1.06,,212.5,-1.6,,212.5,9.05,,212.5,-94.21,
,,,,,,,,212.72,9.2,,212.72,6.72,,212.72,0.21,,212.72,-159.06,
,,,,,,,,212.94,4.2,,212.94,1.13,,212.94,-2.82,,212.94,-131.07,
,,,,,,,,213.16,-0.44,,213.16,15.6,,213.16,1.41,,213.16,-38.23,
,,,,,,,,213.38,-5.63,,213.38,7.07,,213.38,10.15,,213.38,-6.83,
,,,,,,,,213.6,3.61,,213.6,16.96,,213.6,16.26,,213.6,-34.13,
,,,,,,,,213.83,9.11,,213.83,18.94,,213.83,20.95,,213.83,109.91,
,,,,,,,,214.05,7.75,,214.05,22.02,,214.05,26.71,,214.05,187.73,
,,,,,,,,214.27,1.47,,214.27,15.12,,214.27,24.15,,214.27,225.96,
,,,,,,,,214.49,0.33,,214.49,6.45,,214.49,22.78,,214.49,191.14,
,,,,,,,,214.71,-6.86,,214.71,7.2,,214.71,17.96,,214.71,217.08,
,,,,,,,,214.93,-5.68,,214.93,2.36,,214.93,18.56,,214.93,225.96,
,,,,,,,,215.16,0.24,,215.16,5.77,,215.16,21.84,,215.16,371.37,
,,,,,,,,215.38,6.97,,215.38,8.36,,215.38,25.9,,215.38,376.83,
,,,,,,,,215.6,8.16,,215.6,16.08,,215.6,25.13,,215.6,432.12,
,,,,,,,,215.82,5.47,,215.82,15.19,,215.82,18.35,,215.82,137.9,
,,,,,,,,216.04,4.97,,216.04,1.67,,216.04,7.08,,216.04,26.62,
,,,,,,,,216.26,6.84,,216.26,2.97,,216.26,10.58,,216.26,-40.28,
,,,,,,,,216.48,-0.17,,216.48,-4.74,,216.48,18.13,,216.48,-2.05,
,,,,,,,,216.71,0.24,,216.71,5.22,,216.71,18.3,,216.71,-23.89,
,,,,,,,,216.93,-2.17,,216.93,3.79,,216.93,19.46,,216.93,75.09,
,,,,,,,,217.15,4.97,,217.15,6.59,,217.15,15.23,,217.15,114.69,
,,,,,,,,217.37,-2.36,,217.37,4.68,,217.37,15.27,,217.37,320.17,
,,,,,,,,217.59,-1.9,,217.59,-0.79,,217.59,7.64,,217.59,127.66,
,,,,,,,,217.81,-15.74,,217.81,-1.81,,217.81,2.05,,217.81,135.85,
,,,,,,,,218.04,-6.5,,218.04,5.63,,218.04,9.69,,218.04,2.73,
,,,,,,,,218.26,-9.64,,218.26,14.03,,218.26,9.94,,218.26,58.03,
,,,,,,,,218.48,1.97,,218.48,17.65,,218.48,15.83,,218.48,132.44,
,,,,,,,,218.7,-2.72,,218.7,12.25,,218.7,14.34,,218.7,141.31,
,,,,,,,,218.92,6.75,,218.92,18.4,,218.92,21.33,,218.92,168.62,
,,,,,,,,219.14,1.6,,219.14,18.67,,219.14,17.11,,219.14,-0.68,
,,,,,,,,219.36,3.52,,219.36,14.85,,219.36,9.34,,219.36,-82.6,
,,,,,,,,219.58,-3.4,,219.58,4.2,,219.58,-7.13,,219.58,-98.99,
,,,,,,,,219.81,-1.49,,219.81,6.93,,219.81,-6.27,,219.81,-73.73,
,,,,,,,,220.03,-4.27,,220.03,3.72,,220.03,-0.94,,220.03,-39.59,
,,,,,,,,220.25,-4.9,,220.25,4.74,,220.25,19.71,,220.25,32.77,
,,,,,,,,220.47,-5.18,,220.47,-2.22,,220.47,14.25,,220.47,86.01,
,,,,,,,,220.69,1.79,,220.69,7,,220.69,15.96,,220.69,147.45,
,,,,,,,,220.91,1.38,,220.91,8.23,,220.91,15.91,,220.91,253.27,
,,,,,,,,221.13,7.7,,221.13,8.23,,221.13,22.66,,221.13,214.35,
,,,,,,,,221.36,2.47,,221.36,-3.65,,221.36,25.04,,221.36,150.87,
,,,,,,,,221.58,11.75,,221.58,-18.81,,221.58,13.1,,221.58,-170.66,
,,,,,,,,221.8,9.93,,221.8,-15.53,,221.8,10.15,,221.8,-103.08,
,,,,,,,,222.02,10.25,,222.02,-5.7,,222.02,1.62,,222.02,-137.21,
,,,,,,,,222.24,-2.95,,222.24,7.41,,222.24,7.98,,222.24,57.34,
,,,,,,,,222.46,-5.36,,222.46,18.12,,222.46,19.75,,222.46,17.07,
,,,,,,,,222.68,-12.23,,222.68,14.17,,222.68,19.5,,222.68,97.62,
,,,,,,,,222.9,-8.86,,222.9,18.06,,222.9,18.47,,222.9,77.14,
,,,,,,,,223.12,-15.64,,223.12,6.25,,223.12,7.17,,223.12,244.39,
,,,,,,,,223.35,-14.6,,223.35,6.52,,223.35,6.36,,223.35,115.37,
,,,,,,,,223.57,-18.15,,223.57,0.79,,223.57,-6.36,,223.57,89.43,
,,,,,,,,223.79,-14.1,,223.79,8.23,,223.79,-9.94,,223.79,-81.92,
,,,,,,,,224.01,-9.27,,224.01,26.18,,224.01,0.34,,224.01,156.33,
,,,,,,,,224.23,-5.5,,224.23,32.94,,224.23,13.87,,224.23,229.37,
,,,,,,,,224.45,-2.13,,224.45,13.55,,224.45,18.39,,224.45,234.83,
,,,,,,,,224.67,3.65,,224.67,-0.51,,224.67,15.96,,224.67,88.06,
,,,,,,,,224.89,2.24,,224.89,-8.64,,224.89,10.45,,224.89,4.78,
,,,,,,,,225.11,1.42,,225.11,3.45,,225.11,4.82,,225.11,-149.5,
