,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Incandescent,,,,Fluorescent,,,,Halogen,,,,Hydrogen,,,,Helium,,,,LED,,,,Green Laser,,,,Red Laser,,,,Green Laser Again,,
,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L
,,181.1,29.81,0.164605190502485,,181.1,2,0.0110436223081171,,181.1,-49.28,-0.272114853672004,,181.1,-73.21,-0.404251794588625,,181.1,-2.59,-0.0143014908890116,,181.1,-38.83,-0.214411927112093,,181.1,-3.48,-0.0192159028161237,,181.1,-3.48,-0.0192159028161237,,181.1,-4.71,-0.0260077305356157
,,181.32,38.46,0.21211118464593,,181.32,-0.58,-0.00319876461504522,,181.32,-11.51,-0.0634789322744319,,181.32,-33.89,-0.186907125523936,,181.32,-3.22,-0.0177586587249062,,181.32,-25,-0.13787778513126,,181.32,-9.35,-0.0515662916390911,,181.32,-9.35,-0.0515662916390911,,181.32,4.16,0.0229428634458416
,,181.55,57.57,0.317102726521619,,181.55,6.68,0.036794271550537,,181.55,150.58,0.829413384742495,,181.55,87.89,0.484109060864776,,181.55,-0.59,-0.00324979344533186,,181.55,116.31,0.640649958689066,,181.55,21.09,0.116166345359405,,181.55,21.09,0.116166345359405,,181.55,10.72,0.0590470944643349
,,181.77,63.94,0.351763217252572,,181.77,4.14,0.0227760356494471,,181.77,217.71,1.19772239643506,,181.77,136.91,0.753204599218793,,181.77,0.59,0.00324586015294053,,181.77,152.83,0.840787808769324,,181.77,25.05,0.137811520052814,,181.77,25.05,0.137811520052814,,181.77,3.21,0.017659679815151
,,181.99,63.94,0.351337985603605,,181.99,2.86,0.0157151491840211,,181.99,142.16,0.781141820979175,,181.99,82.29,0.452167701522062,,181.99,5.84,0.0320896752568822,,181.99,111.7,0.613769987361943,,181.99,28.88,0.158690037914171,,181.99,28.88,0.158690037914171,,181.99,-2.12,-0.0116489917028408
,,182.22,57.12,0.313467237405334,,182.22,-1.78,-0.00976841180990012,,182.22,142.39,0.781418066073977,,182.22,81.07,0.444901767094721,,182.22,4.24,0.0232685764460542,,182.22,85.42,0.46877400943914,,182.22,33.38,0.183185160794644,,182.22,33.38,0.183185160794644,,182.22,-4.16,-0.022829546701789
,,182.44,71.91,0.394156983117737,,182.44,5.55,0.0304209603157202,,182.44,148.31,0.812924797193598,,182.44,56.22,0.30815610611708,,182.44,3.18,0.0174303880727911,,182.44,94.46,0.517759263319447,,182.44,34.34,0.1882262661697,,182.44,34.34,0.1882262661697,,182.44,2.39,0.013100197325148
,,182.66,83.74,0.458447388590824,,182.66,4.28,0.0234315120989817,,182.66,314.04,1.71925982700099,,182.66,154.25,0.84446512646447,,182.66,0.21,0.00114967699551079,,182.66,214.95,1.17677652469068,,182.66,42.67,0.233603416183072,,182.66,42.67,0.233603416183072,,182.66,-15.77,-0.0863352677105004
,,182.89,67.81,0.370769314888731,,182.89,9.04,0.0494286182951501,,182.89,246.23,1.34632839411668,,182.89,109.33,0.597791021925748,,182.89,1.38,0.00754551916452512,,182.89,196.86,1.07638471212204,,182.89,23.96,0.13100770955219,,182.89,23.96,0.13100770955219,,182.89,-10.44,-0.0570834928098857
,,183.11,53.25,0.290808803451477,,183.11,4.61,0.025176123641527,,183.11,173.79,0.949101632898258,,183.11,75.88,0.414395718420621,,183.11,4.59,0.0250668996777893,,183.11,140.2,0.765659985800885,,183.11,14.95,0.0816449128938889,,183.11,14.95,0.0816449128938889,,183.11,-4.3,-0.0234831522035935
